Endereço,Bairro,VT,Área,Vap,Quartos,Banheiros,Vagas,Alto PC,Baixo PC,Varanda,Fundos,Dependências,Condomínio,Pavimento,VU,Fonte,Imobiliária,Atualizado,Link
Rua Ererê,Cosme Velho,1000000,120,3771.38,3,3,3,0,1,1,1,1,1308,,8333.33333333333,Zap,Kasanova,01/11/2021,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-cosme-velho-zona-sul-rio-de-janeiro-rj-120m2-id-2501644334/
Rua Filinto de Almeida,Cosme Velho,700000,113,3295.39,2,2,0,0,1,1,1,1,1044,1,6194.69026548673,Zap,OrlaRio,01/11/2021,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-interfone-cosme-velho-zona-sul-rio-de-janeiro-rj-113m2-id-2501474978/
"Praça São Judas Tadeu, 6",Cosme Velho,965000,129,3771.38,3,4,2,0,1,1,1,1,1640,,7480.62015503876,Zap,João Correa,01/11/2021,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-cosme-velho-zona-sul-rio-de-janeiro-rj-129m2-id-2507151080/
"Rua Cosme Velho, 315",Cosme Velho,880000,87,3795.13,2,2,1,0,0,0,0,1,900,,10114.9425287356,Zap,Calleri,,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-interfone-cosme-velho-zona-sul-rio-de-janeiro-rj-87m2-id-2498306684/
Rua Marechal Pires Ferreira,Cosme Velho,1870000,152,3980.89,4,3,2,1,0,1,1,1,1826,,12302.6315789474,Zap,Indik,,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-armario-de-cozinha-cosme-velho-zona-sul-rio-de-janeiro-rj-152m2-id-2450591007/
Rua Filinto de Almeida,Cosme Velho,840000,100,3295.39,3,3,0,0,0,1,1,0,550,1,8400,Zap,Foco,01/11/2021,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-varanda-cosme-velho-zona-sul-rio-de-janeiro-rj-100m2-id-2491000639/
"Rua Filinto de Almeida, 43",Cosme Velho,600000,71,3295.39,2,2,0,0,0,1,1,0,560,,8450.70422535211,Zap,Giselda Marcolina,,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-cosme-velho-zona-sul-rio-de-janeiro-rj-71m2-id-2501828109/
Rua Filinto de Almeida,Cosme Velho,650000,61,3295.39,2,1,0,0,0,1,1,0,460,,10655.737704918,Zap,General Glicério,,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-ar-condicionado-cosme-velho-zona-sul-rio-de-janeiro-rj-61m2-id-2494078393/
Rua Marechal Pires Ferreira,Cosme Velho,2100000,152,3980.89,4,3,2,1,0,1,1,1,1600,6,13815.7894736842,Zap,Helio Baptista,,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-cosme-velho-zona-sul-rio-de-janeiro-rj-152m2-id-2500650329/
"Rua Cosme Velho, 415",Cosme Velho,900000,85,3795.13,2,2,1,0,0,1,1,1,980,2,10588.2352941176,Zap,Miguel Lopes,,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-cosme-velho-zona-sul-rio-de-janeiro-rj-85m2-id-2478771613/
"Rua Cosme Velho, 315",Cosme Velho,800000,87,3795.13,2,2,1,0,0,0,0,1,907,7,9195.40229885057,Zap,Lowndes,,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-seguranca-interna-cosme-velho-zona-sul-rio-de-janeiro-rj-87m2-id-2507164420/
Rua Itamonte,Cosme Velho,750000,123,3980.89,3,2,1,1,0,1,1,1,970,,6097.56097560976,Zap,Alexsander Gesualdo,,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-ar-condicionado-cosme-velho-zona-sul-rio-de-janeiro-rj-123m2-id-2474822481/
"Rua Cosme Velho, 315",Cosme Velho,900000,87,3795.13,2,2,1,0,0,0,1,1,1200,,10344.8275862069,Zap,José Cima,,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-seguranca-interna-cosme-velho-zona-sul-rio-de-janeiro-rj-87m2-id-2498101479/
